LAT,LON,EMP_WAC,POP10
37.7674,-122.4205,158,0
37.7653,-122.4217,32,97
37.7642,-122.4208,51,175
37.7642,-122.4200,97,341
37.7610,-122.4197,24,343
37.7595,-122.4186,101,194
37.7549,-122.4411,2,257
37.7530,-122.4397,2,139
37.7343,-122.4005,5,227
37.7435,-122.3987,0,0
37.7412,-122.3971,139,0
37.7158,-122.4548,0,0
37.7380,-122.3972,18,170
37.7369,-122.3971,0,20
37.7379,-122.3952,0,13
37.7374,-122.3957,1,66
37.7815,-122.3909,141,1
37.7784,-122.3941,19,15
37.7298,-122.4037,0,0
37.7117,-122.4032,0,0
37.7104,-122.3919,187,0
37.7160,-122.3986,0,0
37.7271,-122.3982,2,211
37.7422,-122.5075,0,0
37.7340,-122.4980,6,0
37.7394,-122.4942,0,0
37.7358,-122.4943,0,0
37.7450,-122.4946,0,0
37.7506,-122.4950,0,0
37.7327,-122.4885,239,56
37.7940,-122.4412,1,27
37.7913,-122.4402,6,166
37.7958,-122.4344,0,154
37.7949,-122.4342,312,69
37.7913,-122.4335,121,97
37.7844,-122.4363,23,4
37.7878,-122.4328,28,72
37.7866,-122.4329,100,126
37.8038,-122.4241,0,0
37.8029,-122.4308,120,203
37.8032,-122.4291,15,279
37.7971,-122.4313,106,159
37.7501,-122.4400,9,138
37.7574,-122.4336,3,152
37.7550,-122.4333,1,165
37.7515,-122.4374,39,170
37.7499,-122.4373,1,150
37.7508,-122.4352,51,165
37.7468,-122.4348,1,124
37.7381,-122.4386,13,128
37.7369,-122.4373,6,101
37.7371,-122.4355,0,38
37.7624,-122.3887,9,0
37.7593,-122.3870,0,0
37.7534,-122.3893,50,0
37.7521,-122.3892,31,1
37.7106,-122.4548,3,0
37.7455,-122.3904,96,0
37.7536,-122.3843,102,0
37.7449,-122.3910,11,0
37.7105,-122.4559,0,0
37.7363,-122.3909,13,98
37.7324,-122.3906,53,97
37.7386,-122.3882,2,178
37.7357,-122.3881,4,176
37.7332,-122.4236,0,8
37.7310,-122.4251,0,0
37.7434,-122.4243,7,0
37.7483,-122.4101,0,0
37.7483,-122.4110,0,0
37.7484,-122.4225,2,0
37.7343,-122.4251,39,225
37.7328,-122.3914,0,0
37.7320,-122.3917,0,0
37.7357,-122.4078,0,0
37.7353,-122.4078,0,0
37.7361,-122.4077,0,0
37.7353,-122.4065,0,0
37.7990,-122.4317,14,184
37.8049,-122.4227,5,277
37.8029,-122.4240,4,216
37.8005,-122.4202,27,202
37.7977,-122.4196,8,279
37.7943,-122.4307,8,240
37.7880,-122.4294,4,199
37.7901,-122.4282,11,325
37.7894,-122.4263,72,293
37.7941,-122.4256,8,329
37.7952,-122.4242,45,134
37.7963,-122.4226,231,318
37.7954,-122.4225,142,171
37.7923,-122.4252,6,274
37.7528,-122.4295,6,43
37.7520,-122.4291,42,85
37.7520,-122.4280,18,84
37.7576,-122.4234,0,0
37.7512,-122.4228,6,0
37.7483,-122.4237,21,191
37.7496,-122.4220,25,222
37.7497,-122.4207,19,131
37.7497,-122.4201,22,55
37.7447,-122.4301,1,142
37.7413,-122.4313,2,70
37.7456,-122.4280,45,193
37.7332,-122.3805,14,118
37.7285,-122.4176,0,125
37.7303,-122.4145,4,83
37.7282,-122.4142,8,135
37.7257,-122.4186,2,110
37.7226,-122.4162,9,78
37.7233,-122.4177,0,130
37.7241,-122.4147,2,119
37.7297,-122.4126,7,96
37.7325,-122.4103,1,131
37.7320,-122.4101,4,139
37.7300,-122.4117,7,129
37.7278,-122.4108,5,116
37.7283,-122.4088,10,139
37.7285,-122.4078,6,133
37.7277,-122.4058,0,0
37.7237,-122.4069,25,33
37.7228,-122.4043,6,134
37.7095,-122.4167,2,176
37.7145,-122.4077,8,202
37.7175,-122.4080,467,95
37.7110,-122.3733,0,0
37.7325,-122.4331,0,0
